1,退却,エスキープキーを押した際に発動、即座に戦闘を止める,0
2,攻撃しろ,目の前にいる敵を攻撃する,1
3,目標を攻撃,プレイヤーがターゲットしている敵を攻撃,1
4,弱いのから片付けろ！,自分より弱いモンスターから狙って攻撃,1
5,蹴散らせ！,MPの残量を考慮せず全力で攻撃する,1
6,物理スキルで攻めろ!,物理タイプのスキルを使って攻撃する,1
7,魔法スキルで攻めろ!,魔法タイプのスキルを使って攻撃する,1
8,状態異常を狙え,状態異常を付与するスキルを使って攻撃する,1
9,攻撃補助をしつつ攻撃だ,攻撃面の補助をしつつ攻撃,1
10,防御補助を使って堅実に攻めろ,防御面の補助をしつつ攻撃,1
11,まとめてかたづけろ！,範囲スキルで敵を攻撃する,1
12,トドメを刺せ！,一番HPが低い敵を攻撃,1
13,Hpに余裕を持て,体力を温存させて攻撃する,2
14,状態回復を怠るな,状態異常の回復を優先しつつ攻撃する,2
15,急いでHPを回復だ！,HPが一番低い味方を優先して全力で回復する,2
16,とにかくHP回復しろ,即座に範囲スキルを使って回復する,2
17,蘇生しろ,即座に倒れた味方を蘇生する,2
18,防御を固めろ,攻撃せずに防御スキルなどで守りを固める,2
19,防御して待機しろ,防御以外の行動をしない,3
20,臨機応変に対応しろ,各々の判断で行動する,3
